,unix_time,asset_balance,account_balance
520,1644537600.0,7.0,11276995.66
521,1644624000.0,8.0,11234643.47
522,1644710400.0,6.0,11276933.930000002
523,1644796800.0,5.0,11319111.610000001
524,1644883200.0,4.0,11362675.260000002
525,1644969600.0,3.0,11406591.240000002
526,1645056000.0,5.0,11364485.41
527,1645142400.0,6.0,11324294.47
528,1645228800.0,4.0,11364312.700000001
529,1645315200.0,3.0,11403343.590000002
530,1645401600.0,2.0,11441477.150000002
531,1645488000.0,1.0,11478841.250000002
532,1645574400.0,0.0,11516963.220000003
533,1645660800.0,0.0,11516963.220000003
534,1645747200.0,0.0,11516963.220000003
535,1645833600.0,0.0,11516963.220000003
536,1645920000.0,0.0,11516963.220000003
537,1646006400.0,0.0,11516963.220000003
538,1646092800.0,0.0,11516963.220000003
539,1646179200.0,2.0,11472665.52
540,1646265600.0,3.0,11429735.96
541,1646352000.0,4.0,11389226.91
542,1646438400.0,2.0,11428284.07
543,1646524800.0,1.0,11467142.790000001
544,1646611200.0,0.0,11505485.270000001
545,1646697600.0,0.0,11505485.270000001
546,1646784000.0,0.0,11505485.270000001
547,1646870400.0,0.0,11505485.270000001
548,1646956800.0,0.0,11505485.270000001
549,1647043200.0,0.0,11505485.270000001
550,1647129600.0,0.0,11505485.270000001
551,1647216000.0,0.0,11505485.270000001
552,1647302400.0,0.0,11505485.270000001
553,1647388800.0,0.0,11505485.270000001
554,1647475200.0,0.0,11505485.270000001
555,1647561600.0,0.0,11505485.270000001
556,1647648000.0,0.0,11505485.270000001
557,1647734400.0,0.0,11505485.270000001
558,1647820800.0,0.0,11505485.270000001
559,,0.0,11505485.270000001
